Dataset,Seed,Method,Class,Support,Precision,Recall,F1
CICIDS2017-7group,33,Optimized Gated AE-T,Brute Force,600,75.14124293785311,88.66666666666667,81.34556574923548
CICIDS2017-7group,33,Optimized Gated AE-T,DDoS,600,95.27145359019264,90.66666666666666,92.91204099060631
CICIDS2017-7group,33,Optimized Gated AE-T,DoS,600,96.37404580152672,84.16666666666667,89.85765124555161
CICIDS2017-7group,33,Optimized Gated AE-T,PortScan,600,82.29317851959361,94.5,87.97517455391777
CICIDS2017-7group,33,Optimized Gated AE-T,Web Attack,202,75.0,89.10891089108911,81.44796380090497
CICIDS2017-7group,33,Raw + MLP,BENIGN,600,95.0,79.16666666666666,86.36363636363636
CICIDS2017-7group,33,Raw + MLP,Bot/Infiltration,598,88.76404494382022,92.47491638795988,90.58149058149058
CICIDS2017-7group,33,Raw + MLP,Brute Force,600,87.23747980613894,90.0,88.59721082854799
CICIDS2017-7group,33,Raw + MLP,DDoS,600,98.62306368330464,95.5,97.0364098221846
CICIDS2017-7group,33,Raw + MLP,DoS,600,91.09697933227343,95.5,93.24654190398698
CICIDS2017-7group,33,Raw + MLP,PortScan,600,88.74388254486134,90.66666666666666,89.69497114591921
CICIDS2017-7group,33,Raw + MLP,Web Attack,202,77.87234042553192,90.5940594059406,83.7528604118993
CICIDS2017-7group,33,Gated AE-T without focal,BENIGN,600,64.39393939393939,70.83333333333334,67.46031746031747
CICIDS2017-7group,33,Gated AE-T without focal,Bot/Infiltration,598,93.63057324840764,73.7458193979933,82.50701590271281
CICIDS2017-7group,33,Gated AE-T without focal,Brute Force,600,81.38041733547352,84.5,82.91087489779233
CICIDS2017-7group,33,Gated AE-T without focal,DDoS,600,90.42904290429044,91.33333333333331,90.87893864013267
CICIDS2017-7group,33,Gated AE-T without focal,DoS,600,96.34615384615384,83.5,89.46428571428572
CICIDS2017-7group,33,Gated AE-T without focal,PortScan,600,82.25308641975309,88.83333333333333,85.41666666666666
CICIDS2017-7group,33,Gated AE-T without focal,Web Attack,202,66.91176470588235,90.0990099009901,76.79324894514767
CICIDS2017-7group,33,Random Forest,BENIGN,600,98.1543624161074,97.5,97.82608695652172
CICIDS2017-7group,33,Random Forest,Bot/Infiltration,598,98.9983305509182,99.1638795986622,99.0810359231412
CICIDS2017-7group,33,Random Forest,Brute Force,600,95.7698815566836,94.33333333333334,95.04617968094038
CICIDS2017-7group,33,Random Forest,DDoS,600,100.0,100.0,100.0
CICIDS2017-7group,33,Random Forest,DoS,600,98.84297520661156,99.66666666666669,99.25311203319502
CICIDS2017-7group,33,Random Forest,PortScan,600,99.66722129783692,99.83333333333331,99.7502081598668
CICIDS2017-7group,33,Random Forest,Web Attack,202,83.17307692307693,85.64356435643565,84.39024390243902
CICIDS2017-7group,44,Raw+AE concat + MLP,BENIGN,600,91.75824175824177,83.5,87.43455497382199
CICIDS2017-7group,44,Raw+AE concat + MLP,Bot/Infiltration,598,88.77721943048577,88.62876254180601,88.70292887029288
CICIDS2017-7group,44,Raw+AE concat + MLP,Brute Force,600,94.3562610229277,89.16666666666667,91.68808911739504
CICIDS2017-7group,44,Raw+AE concat + MLP,DDoS,600,97.96954314720811,96.5,97.22921914357684
CICIDS2017-7group,44,Raw+AE concat + MLP,DoS,600,91.38755980861244,95.5,93.39853300733496
CICIDS2017-7group,44,Raw+AE concat + MLP,PortScan,600,85.062893081761,90.16666666666666,87.54045307443366
CICIDS2017-7group,44,Raw+AE concat + MLP,Web Attack,202,81.77966101694916,95.54455445544554,88.12785388127854
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),BENIGN,600,83.9506172839506,56.66666666666666,67.66169154228857
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),Bot/Infiltration,598,84.15492957746478,79.93311036789298,81.98970840480274
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),Brute Force,600,56.057007125890735,39.33333333333333,46.22918707149853
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),DDoS,600,90.09009009009009,50.0,64.30868167202573
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),DoS,600,57.073760580411125,78.66666666666666,66.15276804484932
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),PortScan,600,59.49506037321625,90.33333333333331,71.74056915949703
CICIDS2017-7group,44,Raw+AE Transformer (optimized protocol),Web Attack,202,55.52238805970149,92.07920792079209,69.27374301675978
CICIDS2017-7group,44,XGBoost,BENIGN,600,99.6627318718381,98.5,99.07795473595976
CICIDS2017-7group,44,XGBoost,Bot/Infiltration,598,99.33554817275748,100.0,99.66666666666669
CICIDS2017-7group,44,XGBoost,Brute Force,600,97.23661485319516,93.83333333333331,95.50466497031384
CICIDS2017-7group,44,XGBoost,DDoS,600,100.0,100.0,100.0
CICIDS2017-7group,44,XGBoost,DoS,600,99.66777408637874,100.0,99.83361064891848
CICIDS2017-7group,44,XGBoost,PortScan,600,99.6661101836394,99.5,99.58298582151794
CICIDS2017-7group,44,XGBoost,Web Attack,202,82.66666666666667,92.07920792079209,87.11943793911007
CICIDS2017-7group,44,Optimized Raw Transformer,BENIGN,600,50.93457943925234,18.166666666666668,26.78132678132678
CICIDS2017-7group,44,Optimized Raw Transformer,Bot/Infiltration,598,25.01883948756593,55.51839464882943,34.493506493506494
CICIDS2017-7group,44,Optimized Raw Transformer,Brute Force,600,83.91608391608392,20.0,32.3014804845222
CICIDS2017-7group,44,Optimized Raw Transformer,DDoS,600,61.70542635658914,66.33333333333333,63.93574297188756
CICIDS2017-7group,44,Optimized Raw Transformer,DoS,600,73.3652312599681,76.66666666666667,74.97962510187449
CICIDS2017-7group,44,Optimized Raw Transformer,PortScan,600,55.074875207986686,55.16666666666666,55.120732722731056
CICIDS2017-7group,44,Optimized Raw Transformer,Web Attack,202,74.8971193415638,90.0990099009901,81.79775280898876
